2016-02-15 14:35:01,500 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63529 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63529@61616
2016-02-15 14:37:14,754 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63732 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63732@61616
2016-02-15 14:38:39,218 | WARN  | Transport Connection to: tcp://127.0.0.1:63750 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63750@61616
2016-02-15 14:38:39,218 | WARN  | Transport Connection to: tcp://127.0.0.1:63747 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63747@61616
2016-02-15 14:40:55,068 | WARN  | Transport Connection to: tcp://127.0.0.1:63874 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63874@61616
2016-02-15 14:41:01,031 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63847 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63847@61616
2016-02-15 14:41:01,153 | WARN  | Transport Connection to: tcp://127.0.0.1:63871 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63871@61616
2016-02-15 14:46:06,257 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63938 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63938@61616
2016-02-15 14:46:53,144 | WARN  | Transport Connection to: tcp://127.0.0.1:63954 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63954@61616
2016-02-15 14:46:53,146 | WARN  | Transport Connection to: tcp://127.0.0.1:63957 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63957@61616
2016-02-15 14:52:02,296 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:64149 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:64149@61616
2016-02-15 14:52:39,977 | WARN  | Transport Connection to: tcp://127.0.0.1:64148 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64148@61616
2016-02-15 14:52:39,980 | WARN  | Transport Connection to: tcp://127.0.0.1:64145 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64145@61616
2016-02-15 14:59:17,177 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:64334 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:64334@61616
2016-02-15 15:05:09,851 | WARN  | Transport Connection to: tcp://127.0.0.1:64358 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64358@61616
2016-02-15 15:05:09,854 | WARN  | Transport Connection to: tcp://127.0.0.1:64356 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64356@61616
2016-02-16 19:58:37,625 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3aa09a08: startup date [Tue Feb 16 19:58:37 MST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-02-16 19:58:40,128 | INFO  | PListStore:[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-02-16 19:58:40,453 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-02-16 19:58:40,826 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2016-02-16 19:58:41,462 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-16 19:58:41,535 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-16 19:58:41,640 | INFO  | Recovery replayed 2532 operations from the journal in 0.144 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-16 19:58:41,899 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-51868-1455677921711-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-02-16 19:58:42,036 | INFO  | Listening for connections at: tcp://ISG-141576:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-16 19:58:42,041 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-02-16 19:58:42,056 | INFO  | Listening for connections at: amqp://ISG-141576:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-16 19:58:42,060 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-02-16 19:58:42,079 | INFO  | Listening for connections at: stomp://ISG-141576:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-16 19:58:42,083 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-02-16 19:58:42,329 | INFO  | Listening for connections at ws://ISG-141576:1884?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-16 19:58:42,330 | INFO  | Connector mqtt+ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-16 19:58:42,348 | INFO  | Listening for connections at ws://ISG-141576:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-16 19:58:42,350 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-16 19:58:42,353 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-51868-1455677921711-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-02-16 19:58:42,356 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-02-16 19:58:43,022 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-02-16 19:58:43,192 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-02-16 19:58:44,058 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2016-02-16 22:20:56,829 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:52009 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:52009@61616
2016-02-16 22:22:31,173 | WARN  | Transport Connection to: tcp://127.0.0.1:52022 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52022@61616
2016-02-16 22:22:31,174 | WARN  | Transport Connection to: tcp://127.0.0.1:52025 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52025@61616
2016-02-18 13:42:44,346 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3d69084f: startup date [Thu Feb 18 13:42:44 MST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-02-18 13:42:45,573 | INFO  | PListStore:[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-02-18 13:42:45,651 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-02-18 13:42:45,709 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2016-02-18 13:42:46,209 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-18 13:42:46,262 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-18 13:42:46,331 | INFO  | Recovery replayed 1636 operations from the journal in 0.092 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-18 13:42:46,502 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-61222-1455828166354-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-02-18 13:42:46,585 | INFO  | Listening for connections at: tcp://ISG-141576:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-18 13:42:46,590 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-02-18 13:42:46,605 | INFO  | Listening for connections at: amqp://ISG-141576:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-18 13:42:46,609 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-02-18 13:42:46,638 | INFO  | Listening for connections at: stomp://ISG-141576:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-18 13:42:46,642 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-02-18 13:42:46,766 | INFO  | Listening for connections at ws://ISG-141576:1884?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-18 13:42:46,767 | INFO  | Connector mqtt+ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-18 13:42:46,785 | INFO  | Listening for connections at ws://ISG-141576:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-18 13:42:46,787 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-18 13:42:46,790 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-61222-1455828166354-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-02-18 13:42:46,793 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-02-18 13:42:47,262 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-02-18 13:42:47,377 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-02-18 13:42:47,980 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2016-02-18 13:49:13,976 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:61235 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:61235@61616
2016-02-18 13:49:52,999 | WARN  | Transport Connection to: tcp://127.0.0.1:59776 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59776@61616
2016-02-18 13:56:47,778 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:59948 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:59948@61616
2016-02-18 14:04:49,232 | WARN  | Transport Connection to: tcp://127.0.0.1:59954 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59954@61616
2016-02-18 14:05:14,899 | WARN  | Transport Connection to: tcp://127.0.0.1:59957 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59957@61616
2016-02-18 14:21:44,816 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:60421 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:60421@61616
2016-02-18 14:21:58,659 | WARN  | Transport Connection to: tcp://127.0.0.1:60428 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60428@61616
2016-02-18 14:22:07,924 | WARN  | Transport Connection to: tcp://127.0.0.1:60431 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60431@61616
2016-02-18 14:23:48,418 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:60947 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:60947@61616
2016-02-18 14:24:14,194 | WARN  | Transport Connection to: tcp://127.0.0.1:60954 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60954@61616
2016-02-18 14:24:14,194 | WARN  | Transport Connection to: tcp://127.0.0.1:60956 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60956@61616
2016-02-18 15:01:08,513 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:50305 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:50305@61616
2016-02-18 15:02:07,988 | WARN  | Transport Connection to: tcp://127.0.0.1:50307 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50307@61616
